fixture_id,date,league_season,league,home_team,away_team,home_score,away_score,home_result,home_avg_goals_last_3,home_avg_goals_against_last_3,home_avg_goals_last_5,home_avg_goals_against_last_5,home_avg_goals_last_10,home_avg_goals_against_last_10,home_avg_goals_season,home_avg_goals_against_season,home_avg_scoring_last_3,home_avg_scoring_last_5,home_avg_scoring_last_10,home_avg_scoring_season,home_points_last_3,home_points_last_5,home_points_last_10,home_streak,away_avg_goals_last_3,away_avg_goals_against_last_3,away_avg_goals_last_5,away_avg_goals_against_last_5,away_avg_goals_last_10,away_avg_goals_against_last_10,away_avg_goals_season,away_avg_goals_against_season,away_avg_scoring_last_3,away_avg_scoring_last_5,away_avg_scoring_last_10,away_avg_scoring_season,away_points_last_3,away_points_last_5,away_points_last_10,away_streak,home_elo,away_elo,scoring_diff_last_3,scoring_diff_last_5,scoring_diff_last_10,scoring_diff_season,points_diff_last_3,points_diff_last_5,points_diff_last_10,streak_diff,elo_diff,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_goal_diff
720766,2021-08-27,2021,La Liga,Valencia,Alaves,3,0,2,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,4.0,4.0,4.0,0,0.5,2.5,0.5,2.5,0.5,2.5,0.5,2.5,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,-2,1509.71,1480.29,2.5,2.5,2.5,2.5,4.0,4.0,4.0,2,29.42,0,0,0,0,0,0,0
720762,2021-08-28,2021,La Liga,Celta Vigo,Athletic Club,0,1,0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,1490.29,1500.29,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,0,-10.0,0,0,0,0,0,0,0
720765,2021-08-28,2021,La Liga,Real Sociedad,Levante,1,0,2,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,-0.5,-0.5,-0.5,-0.5,3.0,3.0,3.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,1500.0,1500.29,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,1,-0.29,0,0,0,0,0,0,0
720768,2021-08-28,2021,La Liga,Elche,Sevilla,1,1,1,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,-1,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,2,1490.29,1519.42,-2.5,-2.5,-2.5,-2.5,-5.0,-5.0,-5.0,-3,-29.13,0,0,0,0,0,0,0
720761,2021-08-28,2021,La Liga,Real Betis,Real Madrid,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,3.5,2.0,3.5,2.0,3.5,2.0,3.5,2.0,1.5,1.5,1.5,1.5,4.0,4.0,4.0,0,1500.0,1509.71,-1.5,-1.5,-1.5,-1.5,-2.0,-2.0,-2.0,0,-9.71,0,0,0,0,0,0,0
720760,2021-08-29,2021,La Liga,Barcelona,Getafe,2,1,2,2.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-2,1509.71,1480.58,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2,29.13,0,0,0,0,0,0,0
720764,2021-08-29,2021,La Liga,Cadiz,Osasuna,2,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,1500.0,1499.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.29,0,0,0,0,0,0,0
720767,2021-08-29,2021,La Liga,Rayo Vallecano,Granada CF,4,0,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,-2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,1480.0,1500.29,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-20.29,0,0,0,0,0,0,0
720759,2021-08-29,2021,La Liga,Atletico Madrid,Villarreal,2,2,1,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,6.0,6.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,1519.71,1500.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2,19.71,0,0,0,0,0,0,0
720774,2021-09-11,2021,La Liga,Levante,Rayo Vallecano,1,1,1,1.333,1.667,1.333,1.667,1.333,1.667,1.333,1.667,-0.334,-0.334,-0.334,-0.334,2.0,2.0,2.0,-1,1.333,1.333,1.333,1.333,1.333,1.333,1.333,1.333,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1,1490.28,1490.58,-0.33,-0.33,-0.33,-0.33,-1.0,-1.0,-1.0,-2,-0.3,0,0,0,0,0,0,0
