fixture_id,date,home_team,home_team_id,away_team,away_team_id,home_score,away_score,league_season,home_result,home_avg_goals_last_3,home_avg_goals_against_last_3,home_avg_goals_last_5,home_avg_goals_against_last_5,home_avg_goals_last_10,home_avg_goals_against_last_10,home_avg_goals_season,home_avg_goals_against_season,home_avg_scoring_last_3,home_avg_scoring_last_5,home_avg_scoring_last_10,home_avg_scoring_season,home_points_last_3,home_points_last_5,home_points_last_10,away_avg_goals_last_3,away_avg_goals_against_last_3,away_avg_goals_last_5,away_avg_goals_against_last_5,away_avg_goals_last_10,away_avg_goals_against_last_10,away_avg_goals_season,away_avg_goals_against_season,away_avg_scoring_last_3,away_avg_scoring_last_5,away_avg_scoring_last_10,away_avg_scoring_season,away_points_last_3,away_points_last_5,away_points_last_10,scoring_diff_last_3,scoring_diff_last_5,scoring_diff_last_10,scoring_diff_season,points_diff_last_3,points_diff_last_5,points_diff_last_10
720750,2021-08-21,Athletic Club,531,Barcelona,529,1,1,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
720756,2021-08-22,Levante,539,Real Madrid,541,3,3,2021,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0
720751,2021-08-22,Atletico Madrid,530,Elche,797,1,0,2021,2,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
720758,2021-08-22,Real Sociedad,548,Rayo Vallecano,728,1,0,2021,2,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
720753,2021-08-23,Getafe,546,Sevilla,536,0,1,2021,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-3.0
720757,2021-08-23,Osasuna,727,Celta Vigo,538,0,0,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
720763,2021-08-27,Mallorca,798,Espanyol,540,1,0,2021,2,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,2.0,2.0,2.0
720766,2021-08-27,Valencia,532,Alaves,542,3,0,2021,2,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,4.0,4.0,4.0,0.5,2.5,0.5,2.5,0.5,2.5,0.5,2.5,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,4.0,4.0,4.0
720762,2021-08-28,Celta Vigo,538,Athletic Club,531,0,1,2021,0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
720765,2021-08-28,Real Sociedad,548,Levante,539,1,0,2021,2,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,-0.5,-0.5,-0.5,-0.5,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0
